iter	MAE	RMSE
277	0.5087036624	0.6590858072
278	0.5085181795	0.6588628237
279	0.508344955	0.6586509552
280	0.5081313243	0.658396172
281	0.507899658	0.658169194
282	0.507720011	0.6579636028
283	0.5075111851	0.6577358133
284	0.507405558	0.6575776344
285	0.5072598716	0.6573945788
286	0.5069866432	0.6571256336
287	0.5067943023	0.6569126348
288	0.506567652	0.656681365
289	0.5064525185	0.6565266457
290	0.5063583726	0.656383684
291	0.5062592239	0.6562430829
292	0.506199602	0.6561515284
293	0.5061154334	0.6560437253
294	0.5059180218	0.6558199426
295	0.5057266811	0.6555811842
296	0.5055479281	0.6553530195
297	0.505370478	0.6551489666
298	0.5051506428	0.6548703524
299	0.5050587705	0.6547427432
300	0.5049995476	0.6546661423
301	0.5047739419	0.6544583129
302	0.5045487456	0.6541793248
303	0.5044342778	0.6540330035
304	0.5043203095	0.6538698092
305	0.5040919578	0.6535971828
306	0.5039082464	0.6533732488
307	0.503761958	0.6531598101
308	0.5036083999	0.6529582231
309	0.5033724629	0.6527207092
310	0.5031582699	0.6524389321
311	0.5030323129	0.6522610663
312	0.502853419	0.6520449646
313	0.502722901	0.6518838775
314	0.5025924326	0.6517024464
315	0.50231995	0.6513732252
316	0.5022187887	0.6512334786
317	0.5021065451	0.6510886212
318	0.5018717211	0.6507967194
319	0.5017394545	0.6506311245
320	0.5016056546	0.6504437261
321	0.5014498898	0.6502546287
322	0.5012807137	0.650041815
323	0.5010503137	0.6497977859
324	0.5009485842	0.6496564217
325	0.5007762997	0.6494576432
326	0.500673859	0.6493304799
327	0.5004682545	0.6491031238
328	0.5002890813	0.6488923354
329	0.5001739483	0.6487402741
330	0.50013147	0.6486823396
331	0.4999985323	0.6485066817
332	0.4998923564	0.648347708
333	0.4997638441	0.6481687826
334	0.499608887	0.647975836
335	0.4993483554	0.6476779743
336	0.4992169789	0.6475249205
337	0.4990456972	0.6473467821
338	0.4989182773	0.6471603841
339	0.4987798292	0.6469779626
340	0.4986360983	0.6467809614
341	0.4984787011	0.6465832686
342	0.4982961369	0.6463880416
343	0.4982114296	0.6462682293
344	0.4980999516	0.6461429579
345	0.49799935	0.6460009364
346	0.497734763	0.6456992312
347	0.497601331	0.6455390399
348	0.4974424527	0.6453567468
349	0.4972971177	0.6451750182
350	0.4971741855	0.6450334984
351	0.4970027635	0.6447792746
352	0.4968648722	0.644600499
353	0.4967558894	0.6444304932
354	0.496713528	0.6443700944
355	0.4965737188	0.6442019906
356	0.4963860947	0.6440115816
357	0.4962127039	0.6438002085
358	0.4960970784	0.6436406087
359	0.4960709981	0.6435947098
360	0.4960006497	0.6435068681
361	0.4958687445	0.6433424105
362	0.4956194481	0.6430593091
363	0.4954405999	0.6428615162
364	0.4952432262	0.6426204164
365	0.4950943296	0.6424407588
366	0.4948857997	0.6422101238
367	0.494801495	0.6420967729
368	0.4946528663	0.6418812981
369	0.4945238298	0.6417215918
370	0.4942682013	0.6414393376
371	0.4941491244	0.6412742976
372	0.4940017974	0.6410518394
373	0.4937610713	0.640810852
374	0.4936530277	0.6406564453
375	0.4933512296	0.6403235351
376	0.4931224192	0.6400279154
377	0.4929215335	0.6397617104
378	0.4928369357	0.6396510161
379	0.4927014599	0.6394736839
380	0.4926351264	0.6393663333
381	0.4924621114	0.6391506366
382	0.4922510047	0.6388802396
383	0.4920969079	0.6386672929
384	0.491923296	0.6384566946
385	0.4917921765	0.6382838455
386	0.4917177642	0.6381768571
387	0.4915865338	0.6379840718
388	0.491496022	0.637858888
389	0.4913788383	0.6376654343
390	0.4913495946	0.6376202792
391	0.4912413118	0.637477461
392	0.4910827128	0.6373007472
393	0.4909079059	0.6371090684
394	0.4907176927	0.636924743
395	0.4905141284	0.6367133605
396	0.4903191572	0.6364671668
397	0.4901882898	0.6362880337
398	0.4900335429	0.6360852782
399	0.4899304582	0.6359373629
400	0.4898375676	0.6358219104
401	0.4897160223	0.6356612436
402	0.4894636305	0.6354243491
403	0.4893638842	0.6352807974
404	0.4893443594	0.6352478035
405	0.4890752594	0.6350091502
406	0.4889463924	0.634880207
407	0.488763277	0.6346571521
408	0.4885995878	0.6344983976
409	0.4884941411	0.6343624389
410	0.4883936792	0.6342452953
411	0.4883012019	0.6341034818
412	0.4881828838	0.6339575245
413	0.4880109501	0.6337045746
414	0.4878411015	0.6334981817
415	0.4877412788	0.6333591924
416	0.4875588745	0.6331630562
417	0.4873878669	0.6329689766
418	0.487275552	0.6328022939
419	0.4869933123	0.632475061
420	0.4868007284	0.6322231335
421	0.4866557973	0.6320431807
422	0.4865105264	0.6318415835
423	0.4863541143	0.6316306762
424	0.4862187259	0.6314581569
425	0.4860326413	0.6312538757
426	0.4858795154	0.6310651447
427	0.4857966871	0.6309431487
428	0.4856941409	0.6308165249
429	0.4855512442	0.6306403353
430	0.4854331502	0.6304943164
431	0.4853145372	0.6303307925
432	0.4851808111	0.6301491192
433	0.4851298328	0.6300827568
434	0.4850118959	0.6299355613
435	0.4849257855	0.6298167936
436	0.4849058275	0.6297777144
437	0.4848045488	0.629653672
438	0.4846314956	0.6294438899
439	0.4845100811	0.629304208
440	0.4844922246	0.6292646532
441	0.4843343139	0.6290987254
442	0.4841490829	0.628895942
443	0.4840309555	0.6287401153
444	0.4839620081	0.6286280331
445	0.4838522526	0.6284961795
446	0.483832923	0.6284624458
447	0.4837470596	0.6283418559
448	0.4836201908	0.6281927651
449	0.4835530483	0.6281128175
450	0.483519464	0.6280586205
451	0.4833707325	0.6278764707
452	0.4833413352	0.6278393351
453	0.4832021916	0.627674688
454	0.4830441895	0.6274629473
455	0.4829096167	0.6272700582
456	0.4828913192	0.6272328456
457	0.4827516693	0.6270460659
458	0.482574385	0.6268150815
459	0.4824532886	0.6266399386
460	0.4823142747	0.6264641296
461	0.4821322962	0.6262457713
462	0.4819062786	0.6259613864
463	0.4817139337	0.6257228406
464	0.4816135946	0.6255720052
465	0.4814545803	0.6253738545
466	0.4813746953	0.625240852
467	0.4812415717	0.625057959
468	0.4811059989	0.6248948514
469	0.4809135104	0.6246492812
470	0.4806455424	0.6243477301
471	0.4805466416	0.6242141129
472	0.4805256958	0.6241751628
473	0.4804639863	0.6241013909
474	0.4803664117	0.6239463604
475	0.4801654694	0.623697599
476	0.47996151	0.6234397167
477	0.4799451583	0.6234064729
478	0.4798973382	0.6233161266
479	0.4797819235	0.6231671198
480	0.4796532334	0.6230314038
481	0.4794405918	0.6227739185
482	0.4793447036	0.6226508448
483	0.4792800456	0.622566416
484	0.4792474181	0.6225078404
485	0.4791704301	0.6224126141
486	0.4790431844	0.6222333387
487	0.4789131124	0.622047997
488	0.4787324242	0.621856511
489	0.4785369912	0.6216045365
490	0.4784146983	0.6214530464
491	0.478279707	0.621274415
492	0.4781865854	0.6211475215
